Mesh ID,Common name,Synonyms
D001963,Bromelains,Dontisanin|Bromelin|Bromelains|Traumanase|Ananase|Proteozym|Extranase|Bromelain|Mucozym|Dayto Anase|Debrase|BromelainPOS|Bromelins|Bromelain POS|Bromelain-POS
D005100,Bromhexine,"bromhexin von ct|Bromhexine, Famel|Hustentabs-ratiopharm|Dur Elix|NA274|Hustentabs ratiopharm|Bromhexin BC|Tesacof|Hydrochloride, Bromhexine|Bromhexine|Bromhexinratiopharm|von ct, bromhexin|DurElix|Hustentabsratiopharm|Dur-Elix|Famel Bromhexine|Flegamin|Bromhexin BerlinChemie|Bromhexine Hydrochloride|Darolan|Bromhexine Monohydrochloride|Flubron|BC, Bromhexin|Mucohexine|Bromhexin|ct, bromhexin von|Monohydrochloride, Bromhexine|Bromhexin ratiopharm|Bromhexin-ratiopharm|NA-274|Quentan|Bisolvon|Aparsonin|Bromhexin Berlin-Chemie|NA 274|Brotussol|Bromhexin Berlin Chemie"
D018491,Bromocriptine,"2-Bromoergocryptine|Methanesulfonate, 2-Bromoergocryptine|2-Bromo-alpha-ergokryptine|Parlodel|2 Bromo alpha ergocryptine|CB-154|2-Bromoergocryptine Mesylate|2-Bromoergocryptine Methanesulfonate|CB154|2-Bromoergokryptine|Bromocriptine Mesylate|Bromocriptine|Bromocryptin|Bromocriptin|2 Bromoergocryptine Mesylate|2 Bromo alpha ergokryptine|Mesylate, Bromocriptine|2-Bromo-alpha-ergocryptine|2 Bromoergokryptine|2 Bromoergocryptine|CB 154|Mesylate, 2-Bromoergocryptine|2 Bromoergocryptine Methanesulfonate"
D018926,Brompheniramine,"para Bromdylamine|Dimetane Ten|Dimetane|Oraminic 2|Dimetapp Allergy|Brompheniramine|Brompheniramine Maleate (1:1)|Oraminic-2|p-Bromdylamine|Brompheniramine Maleate|Dimetane-Ten|para-Bromdylamine|p Bromdylamine|Chlorphed|Maleate, Brompheniramine"
D000894,Bufexamac,Jomax|Parfenac|Malipuran|Bufexamac ratiopharm|p Butoxyphenylacethydroxamic Acid|Bufexamac-ratiopharm|p-Butoxyphenylacethydroxamic Acid|Bufexamacratiopharm|Bufexamac|Windol|Allergipuran|Bufederm|duradermal|Bufal|Droxaryl|Paraderm
D007004,Buformin,"1-Butylbiguanide|Butylbiguanide|Adebit|Silubin Retard|Buformin|Gliporal|Silubin|Retard, Silubin|1 Butylbiguanide"
D049994,Bumetanide,Bumethanide|PF1593|Bumedyl|Drenural|PF 1593|Bumex|Burinex|Miccil|Bumetanide|Fordiuran|PF-1593
D000889,Bunaftine,Bunaphtide|Bunaphtine|Bunaftine|Bunaftide
D013565,Levobunolol,W7000A|AKBeta|Novo Levobunolol|NovoLevobunolol|Vistagan|PMSLevobunolol|Ultracortenol|ApoLevobunolol|Novo-Levobunolol|W 7000A|Apo-Levobunolol|Betagan|Apo Levobunolol|W-7000A|Levobunolol|PMS-Levobunolol|ratio-Levobunolol|PMS Levobunolol|ratio Levobunolol|Levobunolol Hydrochloride
D000779,Bupivacaine,"Dolanaest|Svedocain Sin Vasoconstr|Bupivacaine Hydrochloride|Buvacaina|Bupivacaina Braun|Bupivacain RPR|Marcaine|Bupivacain-RPR|Carbostesin|Sensorcaine|Marcain|1-Butyl-N-(2,6-dimethylphenyl)-2-piperidinecarboxamide|Bupivacaine Monohydrochloride, Monohydrate|Bupivacaine|Bupivacaine Anhydrous|Bupivacaine Carbonate|Bupivacain Janapharm"
D000959,Bupranolol,KL-255|Betadrenol|KL255|KL 255|Bupranolol
D009294,Buprenorphine,"6029-M|RX 6029 M|6029 M|Hydrochloride, Buprenorphine|Temgesic|Temgésic|Buprex|Subutex|Buprenex|RX-6029-M|Prefin|Buprenorphine Hydrochloride|6029M|RX6029M|Buprenorphine"
D005300,Buserelin,"HOE 766|Suprecur|Bigonist|Profact|Tiloryth|HOE766|Buserelin|Receptal|HOE-766|Buserelin Acetate|Suprefact|Acetate, Buserelin"
D019653,Busulfan,"Myléran|Busulfex|Busulphan|n-Butane-1,3-di(methylsulfonate)|Wellcome, Busulfan|Myleran|Busulfan Wellcome|Myelosan|Glyzophrol|Mylecytan|Busulfan"
D009294,Butorphanol,"17-(Cyclobutylmethyl)morphinan-3,14-diol|BC 2627|Butorphanol Tartrate|BC-2627|Beforal|Stadol NS|Torbugesic|Moradol|Stadol|Apo-Butorphanol|Butorphanol|Dolorex|BC2627"
D002092,Butyrylthiocholine,"(2-Mercaptoethyl)Trimethylammonium Butyrate|S Butyrylthiocholine Iodide|Butyrylthiocholine|Iodide, S-Butyrylthiocholine|S-Butyrylthiocholine Iodide"
D002108,Ceruletide,Ceruletide|Caerulein|FI-6934|FI6934|Takus|Cerulein|Ceruletid|FI 6934
D050071,Calcifediol,"Calcifediol|Calcifediol, (3 beta,5E,7E)-Isomer|25 Hydroxycholecalciferol Monohydrate|25-Hydroxyvitamin D 3|25-Hydroxycholecalciferol|25 Hydroxycholecalciferol|Calcifediol, (3 alpha,5Z,7E)-Isomer|Anhydrous, Calcifediol|25 Hydroxyvitamin D3|Calcifediol Anhydrous|25-Hydroxyvitamin D3|Monohydrate, 25-Hydroxycholecalciferol|25 Hydroxyvitamin D 3|Calcidiol|Hidroferol|25-Hydroxycholecalciferol Monohydrate|Calderol|Dedrogyl"
D050071,Calcitriol,"D3, 1,25-dihydroxy-20-epi-Vitamin|KyraMed, Calcitriol|Calcijex|Renatriol|Rocaltrol|Sitriol|MC-1288|1,25-dihydroxy-20-epi-Vitamin D3|1,25-Dihydroxycholecalciferol|MC1288|Silkis|Soltriol|1,25-Dihydroxyvitamin D3|1 alpha, 25-dihydroxy-20-epi-Vitamin D3|D3, 1 alpha,25-Dihydroxyvitamin|1,25 Dihydroxycholecalciferol|Calcitriol-Nefro|D3, 1,25-Dihydroxyvitamin|1,25 Dihydroxyvitamin D3|Calcitriol KyraMed|1,25(OH)2-20epi-D3|Osteotriol|1 alpha,25-Dihydroxycholecalciferol|Calcitriol Nefro|Calcitriol|1 alpha,25 Dihydroxyvitamin D3|Bocatriol|1,25 dihydroxy 20 epi Vitamin D3|20-epi-1alpha,25-dihydroxycholecaliferol|Tirocal|Decostriol|MC 1288|1 alpha,25-Dihydroxyvitamin D3"
D000969,Cambendazole,5-Isopropoxycarbonylamino-2-(4-thiazoyl)benzimidazole|Noviben|Cambendazole
D000935,Candicidin,Candicidin|Vanobid|Levorin|Candicidin D|Candeptin|Candimon|Levorine
D000927,Cannabidiol,"1,3-Benzenediol, 2-(3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl)-5-pentyl-, (1R-trans)-|Epidiolex|Cannabidiol"
D002187,Cannabinol,Cannabinol
D000451,Canrenone,"R.P., 11614|SC9376|Aldadiene|SC 9376|SC-9376|11614 R.P.|Phanurane|Canrenone"
D007509,Cantharidin,Cantharidin|Cantharides|Cantharidine
D011500,Capreomycin,Capastat|Capreomycin|Capreomycin Sulfate|Capromycin
D000959,Captopril,"SQ14,225|SQ-14225|Captopril|SQ 14,225|SQ 14225|Capoten|SQ-14,225|Lopirin|SQ-14,534|SQ-14534|SQ14225|SQ 14534|SQ14,534|SQ14534|(S)-1-(3-Mercapto-2-methyl-1-oxopropyl)-L-proline|SQ 14,534"
D065701,Carbamazepine,Carbamazepine Dihydrate|Carbamazepine Acetate|Finlepsin|Amizepine|Carbazepin|Neurotol|Epitol|Carbamazepine Sulfate (2:1)|Carbamazepine Phosphate|Carbamazepine L-Tartrate (4:1)|Carbamazepine Hydrochloride|Carbamazepine|Carbamazepine Anhydrous|Tegretol
D000900,Carbenicillin,"Pyopen|Disodium, Carbenicillin|Anabactyl|Geopen|Carbenicillin Disodium|Carbenicillin|Microcillin|Penicillin, Carboxybenzyl|Carboxybenzyl Penicillin|Carbecin|Carbapen"
D000897,Carbenoxolone,"Carbenoxalone|Carbenoxolone Disodium Salt|Pharmaxolon|Glycyrrhetinic Acid 3 O hemisuccinate|Bioral|Duogastrone|Acid 3beta-O-Hemisuccinate, 18alpha-Glycyrrhetinic|Carbenoxolone Sodium|3-O-hemisuccinate, Glycyrrhetinic Acid|18alpha Glycyrrhetinic Acid 3beta O Hemisuccinate|18alpha-Carbenoxolone|3beta-O-Hemisuccinate, 18alpha-Glycyrrhetinic Acid|Biogastrone|18alpha Carbenoxolone|18alpha-Glycyrrhetinic Acid 3beta-O-Hemisuccinate|Sanodin|Carbenoxolone|Carbosan|Glycyrrhetinic Acid 3-O-hemisuccinate|Acid 3-O-hemisuccinate, Glycyrrhetinic|Carbeneoxolone"
D013956,Carbimazole,Neomercazole|Neo-Thyreostat|Carbimazole Henning|Neo Tomizol|Neo-Mercazole|Carbimazole
D005659,Carboxin,"5,6-Dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide|D735|Carboxin|Vitavax|D 735|D-735"
D007004,Carbutamide,Bukarban|Butylcarbamide|Oranil|Glybutamide|Sulfaninylbutylurea|Aminophenurobutane|Glucidoral|Oranyl|Diabetal|Bucarban|Carbutamide
D000900,Carfecillin,"Uticillin|Carbenicillin Phenyl Sodium|BRL 3475|Carfecillin Sodium Salt|Carphecillin|BRL-3475|Carfecillin|BRL3475|Salt, Carfecillin Sodium|Sodium Salt, Carfecillin"
D009125,Carisoprodol,Carisoma|Mio Relax|Soprodol|Isomeprobamate|Carisoprodate|Isobamate|Somalgit|Soma|Vanadom|Carisoprodol|Isopropylmeprobamate
D018906,Carmustine,"Nitrumon|Carmustine|BCNU|BiCNU|1,3-Bis(2-Chloroethyl)-1-Nitrosourea|FIVB|N,N'-Bis(2-Chloroethyl)-N-Nitrosourea"
D013565,Carteolol,"Carteolol Hydrochloride|Hydrochloride, Carteolol|Carteolol Monohydrochloride|OPC-1085|Monohydrochloride, Carteolol|OPC1085|OPC 1085|Carteolol"
D000900,Cefaclor,"Ceclor|S-6472|Cefaclor Monohydrate|Cefaclor Anhydrous|Keclor|Lilly 99638|Cefaclor|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((aminophenylacetyl)amino)-3-chloro-8-oxo-, (6R-(6alpha,7beta(R*)))-|S 6472|S6472"
D000900,Cefadroxil,"5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((amino(4-hydroxyphenyl)acetyl)amino)-3-methyl-8-oxo-, (6R-(6alpha,7beta(R*)))-|Bidocef|Cefadroxil Anhydrous|Cephadroxyl|BLS578|4-Hydroxycephalexin|Duricef|Cefadroxil Monohydrate|Ultracef|S-578|S578|BL-S578|4 Hydroxycephalexin|BL S 578|S 578|BLS 578|BL S578|BL-S 578|Cefadroxil"
D000900,Cefamandole,Compound 83405|Cefamandole|Cephamandole
D000900,Cefatrizine,BLS 640|SKF-60771|F-60771|S 640 P|F 60771|SK|SKF 60771|Cefatrizine|F60771|SKF60771|BLS640|S-640P|BL S 640|&|S640P|S 640P|BL-S640|BL S640|BL-S 640|S 640-P
D000900,Cefazolin,"Cefazolin|Sodium Cephazolin|Cephazolin, Sodium|Cefamedin|Totacef|Cephazolin|Ancef|Cephazolin Sodium|Gramaxin|Sodium, Cephazolin|Cephamezine|Sodium, Cefazolin|Kefzol|Cefazolin Sodium|Cefamezine"
D000900,Cefoperazone,"Cefoperazone Sodium Salt|Salt, Cefoperazone Sodium|Céfobis|T-1551|Cefoperazone Sodium|Sodium, Cefoperazone|Cefobid|Cefoperazone|T1551|Cefoperazon|Sodium Salt, Cefoperazone|T 1551"
D000900,Cefotaxime,"Cefotaxim|Cefotaxime|Kendrick|HR 756|Sodium, Cefotaxime|HR756|Cefradil|Ru-24756|Claforan|Cephotaxim|Benaxima|Primafen|HR-756|Taporin|Fotexina|Ru24756|Ru 24756|Cefotaxime Sodium|Biosint|Klaforan"
D000900,Cefoxitin,"Mefoxin|Cefoxitin Sodium|MK-306|Cefoxitin|Sodium, Cefoxitin|MK 306|Mefoxitin|MK306|Méfoxin"
D000900,Cefsulodin,"Monaspor|Pyocefal|Monosodium Salt, Cefsulodin|Sodium, Cefsulodin|SCE129|CGP 7174 E|Abbott 46811|Cefsulodin Monosodium Salt|Cefsulodin Sodium|SCE 129|CGP-7174-E|SCE-129|CGP7174E|Cefsulodin"
D000900,Ceftazidime,"Tazidime|Fortum|Ceftazidime Anhydrous|GR20263|Fortaz|LY 139381|LY-139381|GR-20263|GR 20263|Pyridinium, 1-((7-(((2-amino-4-thiazolyl)((1-carboxy-1-methylethoxy)imino)acetyl)amino)-2-carboxy-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-en-3-yl)methyl)-, inner salt, pentahydrate, (6R-(6alpha,7beta(Z)))-|Ceftazidime|Ceftazidime Pentahydrate|LY139381"
D000900,Ceftriaxone,"Ro 13-9904|Ro 13 9904|Anhydrous Ceftriaxone Sodium|Terbac|Ro-13-9904|Longaceph|Ceftriaxone Sodium|Rocefin|Ceftriaxone Sodium, Anhydrous|Ceftrex|Ceftriaxona Andreu|Ceftriaxone, Disodium Salt|Lendacin|Ceftriaxon Curamed|Ro139904|Tacex|Benaxona|Ro13-9904|Ceftriaxone, Disodium Salt, Hemiheptahydrate|Rocephine|Ro13 9904|Longacef|Ceftriaxone|Cefatriaxone|Cefaxona|Rocephin|Rocefalin|Ro 139904|Ceftriaxon|Ceftriaxon Hexal|Ceftriaxone Irex|Ceftriaxona LDP Torlan"
D000900,Cefuroxime,Zinacef|Cefuroxime|Ketocef|Cephuroxime
D018697,Meclofenoxate,Centrophenoxine|Meclofenoxate Hydrochloride|Cetrexin|Cerutil|Meclofenoxate|Helfergin|Atsefen
D000900,Cephalexin,"Cephalexin Monohydrochloride|Cephalexin Dihydride|Cephalexin Monohydrochloride, Monohydrate|Cephalexin, (6R-(6alpha,7alpha(R*)))-Isomer|Ceporexine|Cephalexin, Monosodium Salt, (6R-(6alpha,7beta))-Isomer|Palitrex|Cephalexin Hydrochloride|Cephalexin|Cefalexin|Cephalexin, (6R-(6alpha,7beta(S*)))-Isomer|Cephalexin Hemihydrate|Cephalexin Monohydrate|Cephalexin, Monosodium Salt|5-Thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7-((aminophenylacetyl)amino)-3-methyl-8-oxo-, (6R-(6alpha,7beta(R*)))-|Cephalexin, (6R-(6alpha,7beta))-Isomer"
D000900,Cephaloglycin,"Cefaloglycin|Cephaloglycin|Cephaloglycine|Dihydrate, Cephaloglycin|Cephaloglycin Dihydrate"
D003902,Cetylpyridinium,"Cetylpyridinium Chloride|Dobendan|Pyrisept|Chloride, Ceepryn|Cetylpyridium|Hexadecylpyridinium|Anhydrous, Cetylpyridinium Chloride|Biosept|Angifonil|Pristacin|Cetamium|Chloride, Cetylpyridinium|Cetylpyridinium|Ceepryn Chloride|Sterogenol|Chloride Anhydrous, Cetylpyridinium|Cetylyre|Merocets|Cetylpyridinium Chloride Anhydrous|Catamium"
D018906,Chlorambucil,"N,N-Di-(2-chloroethyl)-p-aminophenylbutyric Acid|CB 1348|Lympholysin|CB-1348|NSC 3088|Chlorbutin|Chlorambucil|NSC-3088|NSC3088|Chloraminophene|Leukeran|CB1348|4-(Bis(2-chloroethyl)amino)benzenebutanoic Acid|Amboclorin"
D011500,Chloramphenicol,Chloromycetin|Chlorocid|Chlornitromycin|Syntomycin|Ophthochlor|Levomycetin|Amphenicols|Kloramfenikol|Amphenicol|Chloramphenicol|Cloranfenicol|Detreomycin
D018757,Chlordiazepoxide,"Librium|Chlordiazepoxide Perchlorate|Chlordiazepoxide|Chlordiazepoxide Hydrochloride|Perchlorate, Chlordiazepoxide|Chlordiazepoxide Hydrobromide|7-Chloro-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-amine 4-oxide|Monohydrochloride, Chlordiazepoxide|Hydrochloride, Chlordiazepoxide|Hydrobromide, Chlordiazepoxide|Chlozepid|Elenium|7-Chloro-2-methylamino-5-phenyl-3H-1,4-benzodiazepine-4-oxide|7 Chloro N methyl 5 phenyl 3H 1,4 benzodiazepin 2 amine 4 oxide|Methaminodiazepoxide|7 Chloro 2 methylamino 5 phenyl 3H 1,4 benzodiazepine 4 oxide|Chlordiazepoxide Monohydrochloride"
D009067,Chlorhexidine,"Chlorhexidine|Tubulicid|Sebidin A|MK412A|MK 412A|Acetate, Chlorhexidine|Chlorhexidine Acetate|MK-412A|Novalsan|Hydrochloride, Chlorhexidine|Chlorhexidine Hydrochloride"
D002717,Chlormerodrin,Promeran|3-Chloromercuri-2-methoxypropylurea|Chlormeroprin|Chlormerodrin|3 Chloromercuri 2 methoxypropylurea
D014151,Chlormezanone,Chlormethazanone|Chlormezanone
D011310,Chlorobutanol,"Chlorobutanol|Chloretone|Anhydrous Chlorobutanol|Acetonchloroform|Chlorobutanol, Anhydrous|Trichlorbutanol|Chlorbutol"
D012997,Chloroform,Trichloromethane|Chloroform
D000963,Proguanil,"Hydrochloride, Proguanil|Hydrochloride, Chloroguanide|Chloroguanide|Bigumal|Paludrin|Chloroguanide Hydrochloride|Proguanil Hydrochloride|Chloriguane|Paludrine|Proguanil|Chlorguanid"
D018501,Chloroquine,"Chingamin|Chlorochin|Chloroquine|Nivaquine|Chloroquine Sulphate|Aralen|Arechine|Khingamin|Sulphate, Chloroquine|Sulfate, Chloroquine|Arequin|Chloroquine Sulfate"
D049993,Chlorothiazide,Chlorothiazide
D018931,Chlorotrianisene,Chlorotrianisene
D009125,Chlorphenesin,Chlorphenesin
D018926,Chlorpheniramine,"Chlorphenamine|Kloromin|Chlor-Tripolon|Chlo-Amine|Teldrin|Chlor-Trimeton|Chlorpheniramine Tannate|Chlorpheniramine|Cloro-Trimeton|Chlorprophenpyridamine|Chlorspan 12|Chlortab-4|Aller-Chlor|Tannate, Chlorpheniramine|Piriton|Maleate, Chlorpheniramine|Chlor-100|Antihistaminico Llorens|Chlorpro|Chlorpheniramine Maleate|Efidac 24"
D013566,Chlorphentermine,"Desopimon|Chlorphentermine Hydrochloride|Avipron|Pre-Sate|Chlorphentermine|Hydrochloride, Chlorphentermine"
D018492,Chlorpromazine,"Aminazine|Propaphenin|Contomin|Fenactil|Hydrochloride, Chlorpromazine|Thorazine|Chlorpromazine|Chlorpromazine Hydrochloride|Chlorazine|Largactil|Chlordelazine"
D007004,Chlorpropamide,Apo-Chlorpropamide|Diabinese|Glucamide|Clorpropamid|Chlorpropamide|Insogen|Meldian
D018492,Chlorprothixene,Taractan|Chlorprothixene|Chlorprotixen
D000890,Chlorquinaldol,"Chlorchinaldine|Afungil|5,7 Dichloro 2 methyl 8 quinolinol|5,7-Dichloro-2-methyl-8-quinolinol|Sterosan|Chlorquinaldol|Chlorchinaldol|Chloroquinaldol"
D011500,Chlortetracycline,"Biomycin|Chlortetracycline Sulfate (2:1)|Chlorotetracycline|Chlortetracycline, Calcium Salt|Bisulfate, Chlortetracycline|Chlortetracycline, 4-Epimer|Calcium Salt Chlortetracycline|Aureocyclin|Chlortetracycline Bisulfate|Chlortetracycline Monohydrochloride|Chlortetracycline, 4 Epimer|Monohydrochloride, Chlortetracycline|Chlortetracycline Hydrochloride|4-Epimer Chlortetracycline|Chlortetracycline|Hydrochloride, Chlortetracycline|Chlortetracycline Sulfate (1:1)|Salt Chlortetracycline, Calcium|Aureomycine|Aureomycin"
D049993,Chlorthalidone,Phthalamudine|Oxodoline|Chlorthalidone|Hygroton|Thalitone|Chlorphthalidolone|Chlortalidone
D009125,Chlorzoxazone,Parafon|Paraflex|Parafon Forte DSC|Chlorzoxazone
D050071,Cholecalciferol,"Cholecalciferol|Cholecalciferols|Calciol|(3 beta,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trien-3-ol|Vitamin D 3|Vitamin D3"
D002917,Chymopapain,Chymopapain A|Discase|Chemolase|Chymodiactin|Chymopapain|Chymopapain B
D065609,Cimetidine,"SKF-92334|SKF92334|N-Cyano-N'-methyl-N''-(2-(((5-methyl-1H-imidazol-4-yl)methyl)thio)ethyl)guanidine|Cimetidine Hydrochloride|SKF 92334|Cimetidine HCl|HCl, Cimetidine|Histodil|Tagamet|SK|F92334|Hydrochloride, Cimetidine|Biomet400|&|Cimetidine|Altramet|Biomet|F 92334|F-92334|Eureceptor"
D006634,Cinnarizine,"Cinnarizin Von Ct|Dimitronal|Cinarizina Inkey|Stugeron|Cinnarizin AL|Cinarizina Ratiopharm|Cinnarizine L-Tartrate (1:1)|R-516|R516|L-Tartrate, Cinnarizine|Cinazière|R 516|Cisaken|Cinna|Dihydrochloride Cinnarizine|Cinnipirine|1-(Diphenylmethyl)-4-(3-phenyl-2-propenyl)piperazine|Cinnarizin Siegfried|Cinarizine|Cinnarizine L Tartrate|Cinnarizine L-Tartrate|Cinnarizine, Dihydrochloride|Cinnarizine, (E)-Isomer|Cinnarizin-Ratiopharm|Cinnarizine|Stugeron Forte|Von Ct, Cinnarizin|Cinnarizin Ratiopharm"
D065609,Ciprofloxacin,"Cipro|Ciprofloxacin Hydrochloride|Ciprofloxacin Monohydrochloride Monohydrate|Anhydrous, Ciprofloxacin Hydrochloride|Hydrochloride Anhydrous, Ciprofloxacin|Monohydrate, Ciprofloxacin Monohydrochloride|Ciprinol|Monohydrochloride Monohydrate, Ciprofloxacin|Ciprofloxacin Hydrochloride Anhydrous|Bay09867|Bay-09867|Bay 09867|Ciprofloxacin|Hydrochloride, Ciprofloxacin"
D014803,Leucovorin,"Leucovorin, Calcium (1:1) Salt|Monosodium Salt Leucovorin|Leucovorin, (DL)-Isomer|Leucovorin, (D)-Isomer|Leucovorin, Monosodium Salt|5-Formyltetrahydropteroylglutamate|Calcium Leucovorin|Folinic Acid|Calcium Folinate|Folinic Acid SF|5 Formyltetrahydropteroylglutamate|Leucovorin, Calcium (1:1) Salt, (DL)-Isomer|Leucovorin, Calcium|Leukovorin|Citrovorum Factor|Leucovorin, (R)-Isomer|Factor, Citrovorum|5 Formyltetrahydrofolate|Folinic Acid-SF|5-Formyltetrahydrofolate|N(5)-Formyltetrahydrofolate|Leucovorin, Calcium (1:1) Salt, Pentahydrate|Leukovorum|Wellcovorin|Leucovorin|Acid, Folinic|Folinate, Calcium"
D002956,Citrulline,Citrulline
D018926,Clemastine,HS 592|Clemastine Fumarate|Clemastine|Meclastine|HS-592|Tavegyl|HS592|2-(2-(1-(4-Chlorophenyl)-1-phenylethoxy)ethyl)-1-methylpyrrolidine|Mecloprodin|Tavist
D013566,Clenbuterol,NAB 365|Clenbuterol|NAB365|Planipart|NAB-365
D011500,Clindamycin,"Clindamycin Monohydrochloride|Monohydrochloride, Clindamycin|Cleocin|Monohydrochloride, Monohydrate Clindamycin|Clindamycin Monohydrochloride, Monohydrate|Chlolincocin|Dalacin C|7-Chloro-7-deoxylincomycin|Monohydrate Clindamycin Monohydrochloride|Hydrochloride, Clindamycin|Chlorlincocin|Clindamycin|Clindamycin Hydrochloride|7 Chloro 7 deoxylincomycin"
D005938,Clobetasol,Dermovate|Embeline|Clobex|Temovate|Clobetasol|Clobetasol 17-Propionate|Clofenazon|Embeline E|Cormax|Clobetasol Propionate|Clobetasol 17 Propionate|OLUX
D007917,Clofazimine,"G 30,320|Lamprene|G30,320|N,5-Bis(4-chlorophenyl)-3,5-dihydro-3-((1-methylethyl)imino)-2-phenazinamine|B-663|Clofazimine|B663|G-30,320|B 663"
D000960,Clofibrate,"Miskleron|Atromid|Chlorophenoxyisobutyrate, Ethyl|Ethyl Chlorophenoxyisobutyrate|Athromidin|Atromid S|Clofibrate|Clofibric Acid, Ethyl Ester|Miscleron"
D020845,Clomiphene,"Clostilbegit|Clomid|Clomifene|Citrate, Clomiphene|Chloramiphene|Clomiphene Hydrochloride|Hydrochloride, Clomiphene|Klostilbegit|Clomide|Clomiphene|Clomifen|Clomiphene Citrate|Gravosan|Dyneric|Serophene"
D017367,Clomipramine,"Clomipramine Maleate (1:1)|Chlorimipramine|Monohydrochloride, Clomipramine|Hydrochloride, Clomipramine|Chlomipramine|Clomipramine|Clomipramine Monohydrochloride|Anafranil|Hydiphen|Clomipramine Hydrochloride"
D018757,Clonazepam,"Klonopin|2H-1,4-Benzodiazepin-2-one, 5-(2-chlorophenyl)-1,3-dihydro-7-nitro-|Rivotril|Ro 5-4023|Ro 54023|Antelepsin|Clonazepam"
D058647,Clonidine,"Monohydrobromide, Clonidine|Clonidine Dihydrochloride|Chlophazolin|Dixarit|Hydrochloride, Clonidine|M 5041T|ST 155|Dihydrochloride, Clonidine|Clonidine Hydrochloride|Clofenil|ST-155|Clonidine Monohydrobromide|Monohydrochloride, Clonidine|M-5041T|Isoglaucon|ST155|Klofenil|Clopheline|Klofelin|Catapressan|Clofelin|Clonidine|M5041T|Clonidine Monohydrochloride|Gemiton|Hemiton|Catapresan|Catapres"
D000894,Clonixin,CBA93626|Clonixin|CBA-93626|Sch 10304|CBA 93626|Sch-10304|Sch10304
D004232,Clopamide,Brinaldix|Clopamide|Brinedine
D018492,Clopenthixol,Zuclopenthixol|alpha-Clopenthixol|Clopenthixol|alpha Clopenthixol|Cisordinol
D008186,Cloprostenol,"Salt, Cloprostenol Monosodium|Cloprostenol|Cloprostenol Monosodium Salt|Sodium, Cloprostenol|Oestrophan|Monosodium Salt, Cloprostenol|ICI 80,966|Cloprostenol Sodium|ICI-80,966|Estrumate|ICI80,966"
D058888,Clotrimazole,Klotrimazole|Clotrimazole|Bay b 5097|Mycelex|FB b 5097|Canesten|Kanesten|Lotrimin
D000900,Cloxacillin,"Sodium Cloxacillin|Tegopen|Sodium, Cloxacillin|Cloxacillin, Sodium|Cloxacillin|Syntarpen|Cloxacillin Sodium|Chloroxacillin"
D018756,Clozapine,Leponex|Clozaril|Clozapine
D009294,Codeine,"N Methylmorphine|Codeine|Isocodeine|Ardinex|N-Methylmorphine|Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5alpha,6alpha)-|Codeine Phosphate"
D000900,Colistin,"Sulfate, Colistin|Totazina|Colistin|Colistin Sulfate|Coly-Mycin|Polymyxin E|Colisticin|Colimycin"
D000893,Cortisone,"Adreson|Cortone Acetate|17-Hydroxy-3,11,20-trioxopregn-4-en-21-yl acetate|Cortisone|Cortisone Acetate"
D007306,Coumaphos,Coumafos|Coumaphos|Asuntol
D000900,Cyclacillin,Wy 4508|Wy-4508|Wy4508|Ciclacillin|Cyclacillin|Aminocyclohexylpenicillin
D014665,Cyclandelate,Cyclospasmol|Cyclandelate
D006634,Cyclizine,"Marezine|Hydrochloride, Cyclizine|Cyclizine|Cyclizine Hydrochloride|Cyclizine HCl|HCl, Cyclizine"
D005300,Cyclofenil,F6066|Cyclophenil|Ondogyne|F 6066|4-((4-(Acetyloxy)phenyl)cyclohexylidenemethyl)phenol Acetate|Cyclofenil|F-6066
D003515,Cycloleucine,"NSC 1026|Acid, Aminocyclopentanecarboxylic|Cycloleucine|1-Aminocyclopentanecarboxylic Acid|Acid, 1-Aminocyclopentanecarboxylic|Aminocyclopentanecarboxylic Acid|1 Aminocyclopentanecarboxylic Acid"
D049993,Cyclopenthiazide,Cyclomethiazide|Cyclopenthiazide
D018727,Cyclopentolate,Cyclopentolate|Cyclogyl
D019653,Cyclophosphamide,"Cyclophosphamide Anhydrous|Cyclophosphane|B518|Sendoxan|Cyclophosphamide Monohydrate|Procytox|NSC 26271|Cyclophosphamide, (S)-Isomer|B-518|NSC-26271|B 518|Cytophosphan|Cyclophosphamide|Endoxan|Cyclophosphamide, (R)-Isomer|NSC26271|Cytoxan|Cytophosphane|Neosar|(+,-)-2-(bis(2-Chloroethyl)amino)tetrahydro-2H-1,3,2-oxazaphosphorine 2-Oxide Monohydrate"
D000963,Cycloserine,R-4-Amino-3-isoxazolidinone|Cycloserine|Seromycin
